sku,host,ean,source_url,verdict,motivo
fernet-branca-750ml,ardiaprod.vtexassets.com,7790290101602,https://ardiaprod.vteximg.com.br/arquivos/ids/358656/Aperitivo-Fernet-Branca-750-ml-_1.jpg,RECUPERABLE-CON-RECORTE,"cartel azul FERNET BRANCA / 750 ml; ALTA futura, no SKU existente"
fernet-branca-450ml,ardiaprod.vtexassets.com,7790290001179,https://ardiaprod.vteximg.com.br/arquivos/ids/358687/Aperitivo-Fernet-Branca-450-ml-_1.jpg,RECUPERABLE-CON-RECORTE,"cartel azul FERNET BRANCA / 450 ml; ALTA futura, no SKU existente"
stella-artois-lata-473ml,ardiaprod.vtexassets.com,7792798001293,https://ardiaprod.vteximg.com.br/arquivos/ids/375779/Cerveza-Stella-Artois-en-Lata-473-ml-_1.png,RECUPERABLE-CON-RECORTE,"cartel de merchandising (473cc RUBIA), igual que en Jumbo"
gin-gordons-700ml,jumboargentina.vtexassets.com,7791250801839,https://jumboargentina.vteximg.com.br/arquivos/ids/892327/Gin-Tropical-Fruits-700cc-Gordon-s-1-1049582.jpg,RECHAZADA,"VARIANTE INCORRECTA: es Gordon's Tropical Fruits, no el London Dry clasico"
andes-origen-roja-lata-473ml,,,,SIN-CANDIDATA,"Jumbo no lista Andes Origen Roja en 473 lata; solo 340cc, 269ml y 1L retornable. Posible formato discontinuado"
quilmes-clasica-lata-473ml-pack-6,,,,SIN-CANDIDATA,"Jumbo lista la lata 473 suelta y el pack x12, no el pack x6. Posible formato discontinuado"
fernet-1882-750ml,,,,SIN-CANDIDATA,"Jumbo solo lista 1882 en pack x6, en lata con cola 473 y en kit; no la botella 750 suelta"
dr-lemon-vodka-pomelo-lata-473ml,,,,SIN-CANDIDATA,"Jumbo tiene pomelo en 1L y limon en lata 473, pero no pomelo en lata 473"
fernet-branca-750ml,acdn-us.mitiendanube.com (brancastore.com.ar · FABRICANTE),,https://acdn-us.mitiendanube.com/stores/006/757/969/products/33-55788569045f14a12c17750533900198-1024-1024.webp,RECUPERABLE-CON-RECORTE,"tienda oficial de Fratelli Branca. 1024x1024. Botella en columnas 385-643 y cartel en 813-1023, con 169px de blanco puro entre medio: el corte no toca el envase. FUENTE PREFERIDA sobre el retailer"
fernet-branca-1000ml,acdn-us.mitiendanube.com (brancastore.com.ar · FABRICANTE),,https://acdn-us.mitiendanube.com/stores/006/757/969/products/31-6637cf8d3cf6b8487617750533556878-1024-1024.webp,RECUPERABLE-CON-RECORTE,"tienda oficial de Fratelli Branca. Botella en 385-653, cartel en 813-1023, 159px de blanco entre medio. Reemplaza a la caja de regalo de Jumbo"
fernet-branca-450ml,acdn-us.mitiendanube.com (brancastore.com.ar · FABRICANTE),,https://acdn-us.mitiendanube.com/stores/006/757/969/products/35-5b6900b32d6a0fafee17750534201734-1024-1024.webp,RECUPERABLE-CON-RECORTE,"tienda oficial de Fratelli Branca. Botella en 386-631, cartel en 813-1023, 181px de blanco entre medio"
