sku,gondola,brand,name,presentation,blocked_field,blocking_reason,evidence,next_action
"schweppes-tonica-354ml","Mixers","Schweppes","Schweppes Tónica","Lata · 354 ml · Unidad","price+image_rights_status+publication_status","No aprobado: La revisión visual encontró tabla nutricional, no frente de producto.","https://www.jumbo.com.ar/gaseosa-schweppes-tonica-354-ml/p","Conseguir un packshot frontal verificable de la presentación declarada."
"schweppes-pomelo-sin-azucar-2250ml","Mixers","Schweppes","Schweppes Pomelo","Botella PET · 2,25 L · Unidad","price","Precio no confirmado por el negocio. Identidad e imagen verificadas; el registro entra a la góndola como ""Precio próximamente"" y no es comprable.","https://www.jumbo.com.ar/gaseosa-schweppes-pomelo-zero-2-25lt/p","El negocio confirma precio y stock; recién ahí publicable=true."
"schweppes-ginger-ale-310ml","Mixers","Schweppes","Schweppes Ginger Ale","Lata · 310 ml · Unidad","price","Precio no confirmado por el negocio. Identidad e imagen verificadas; el registro entra a la góndola como ""Precio próximamente"" y no es comprable.","https://www.jumbo.com.ar/gaseosa-ginger-ale-310-ml-schweppes/p","El negocio confirma precio y stock; recién ahí publicable=true."
"paso-de-los-toros-pomelo-1500ml","Mixers","Paso de los Toros","Paso de los Toros Pomelo","Botella PET · 1,5 L · Unidad","price","Precio no confirmado por el negocio. Identidad e imagen verificadas; el registro entra a la góndola como ""Precio próximamente"" y no es comprable.","https://www.jumbo.com.ar/gaseosa-paso-de-los-toros-pomelo-botella-1-5ltx1/p","El negocio confirma precio y stock; recién ahí publicable=true."
"paso-de-los-toros-tonica-1500ml","Mixers","Paso de los Toros","Paso de los Toros Tónica","Botella PET · 1,5 L · Unidad","price","Precio no confirmado por el negocio. Identidad e imagen verificadas; el registro entra a la góndola como ""Precio próximamente"" y no es comprable.","https://www.jumbo.com.ar/gaseosa-paso-de-los-toros-tonica-botella-1-5ltx1/p","El negocio confirma precio y stock; recién ahí publicable=true."
"soda-ivess-1500ml","Mixers","Ivess","Soda Ivess","Sifón · 1,5 L · Unidad","price","Precio no confirmado por el negocio. Identidad e imagen verificadas; el registro entra a la góndola como ""Precio próximamente"" y no es comprable.","https://www.jumbo.com.ar/soda-ivess-1-5-l/p","El negocio confirma precio y stock; recién ahí publicable=true."
"britvic-ginger-beer-200ml","Mixers","Britvic","Britvic Ginger Beer","Botella · 200 ml · Unidad","price","Precio no confirmado por el negocio. Identidad e imagen verificadas; el registro entra a la góndola como ""Precio próximamente"" y no es comprable.","https://www.jumbo.com.ar/bebida-ginger-beer-britvic-botella-200-ml/p","El negocio confirma precio y stock; recién ahí publicable=true."
"villavicencio-sin-gas-500ml","Aguas","Villavicencio","Villavicencio","Botella PET · 500 ml · Unidad","price","Precio no confirmado por el negocio. Identidad e imagen verificadas; el registro entra a la góndola como ""Precio próximamente"" y no es comprable.","https://www.jumbo.com.ar/agua-sin-gas-villavicencio-500-ml/p","El negocio confirma precio y stock; recién ahí publicable=true."
"eco-de-los-andes-sin-gas-2000ml","Aguas","Eco de los Andes","Eco de los Andes","Botella PET · 2 L · Unidad","price","Precio no confirmado por el negocio. Identidad e imagen verificadas; el registro entra a la góndola como ""Precio próximamente"" y no es comprable.","https://www.jumbo.com.ar/agua-mineral-eco-de-los-andes-sin-gas-2-l/p","El negocio confirma precio y stock; recién ahí publicable=true."
"glaciar-sin-gas-1500ml","Aguas","Glaciar","Glaciar","Botella PET · 1,5 L · Unidad","price","Precio no confirmado por el negocio. Identidad e imagen verificadas; el registro entra a la góndola como ""Precio próximamente"" y no es comprable.","https://www.jumbo.com.ar/agua-mineral-glaciar-sin-gas-bajo-sodio-1-5-l/p","El negocio confirma precio y stock; recién ahí publicable=true."
"glaciar-con-gas-1500ml","Aguas","Glaciar","Glaciar","Botella PET · 1,5 L · Unidad","price","Precio no confirmado por el negocio. Identidad e imagen verificadas; el registro entra a la góndola como ""Precio próximamente"" y no es comprable.","https://www.jumbo.com.ar/agua-baja-en-sodio-glaciar-con-gas-1-5-l/p","El negocio confirma precio y stock; recién ahí publicable=true."
"levite-manzana-2250ml","Aguas saborizadas","Levité","Levité","Botella PET · 2,25 L · Unidad","price+image_rights_status+publication_status","No aprobado: La revisión visual encontró una pieza gráfica, no envase verificable.","https://www.jumbo.com.ar/saborizada-levite-manzana-2-25lt/p","Conseguir un packshot frontal verificable de la presentación declarada."
"aquarius-pera-2200ml","Aguas saborizadas","Aquarius","Aquarius","Botella PET · 2,2 L · Unidad","price+image_rights_status+publication_status","No aprobado: La revisión visual encontró tabla nutricional, no frente de producto.","https://www.jumbo.com.ar/saborizada-aquarius-pera-2-2lt/p","Conseguir un packshot frontal verificable de la presentación declarada."
"h2oh-limon-1500ml","Aguas saborizadas","H2OH!","H2OH!","Botella PET · 1,5 L · Unidad","price","Precio no confirmado por el negocio. Identidad e imagen verificadas; el registro entra a la góndola como ""Precio próximamente"" y no es comprable.","https://www.jumbo.com.ar/saborizada-limon-sin-gas-1-5-l-h2oh-2/p","El negocio confirma precio y stock; recién ahí publicable=true."
"red-bull-energy-drink-355ml","Energizantes","Red Bull","Red Bull Energy Drink","Lata · 355 ml · Unidad","price","Precio no confirmado por el negocio. Identidad e imagen verificadas; el registro entra a la góndola como ""Precio próximamente"" y no es comprable.","https://www.jumbo.com.ar/energizate-red-bull-energy-drink-355cc/p","El negocio confirma precio y stock; recién ahí publicable=true."
"monster-mango-loco-473ml","Energizantes","Monster","Monster Mango Loco","Lata · 473 ml · Unidad","price","Precio no confirmado por el negocio. Identidad e imagen verificadas; el registro entra a la góndola como ""Precio próximamente"" y no es comprable.","https://www.jumbo.com.ar/bebida-energizante-mango-loco-473-ml-monster/p","El negocio confirma precio y stock; recién ahí publicable=true."
"monster-ultra-473ml","Energizantes","Monster","Monster Ultra","Lata · 473 ml · Unidad","price+image_rights_status+publication_status","No aprobado: La revisión visual encontró dorso nutricional, no frente de producto.","https://www.jumbo.com.ar/bebida-energizante-energy-ultra-473-ml-monster/p","Conseguir un packshot frontal verificable de la presentación declarada."
"speed-zero-473ml","Energizantes","Speed","Speed Zero","Lata · 473 ml · Unidad","price","Precio no confirmado por el negocio. Identidad e imagen verificadas; el registro entra a la góndola como ""Precio próximamente"" y no es comprable.","https://www.jumbo.com.ar/energizante-speed-zero-473-cc-2/p","El negocio confirma precio y stock; recién ahí publicable=true."
"gatorade-zero-fresa-kiwi-400ml","Isotónicas","Gatorade","Gatorade Zero","Botella PET · 400 ml · Unidad","price","Precio no confirmado por el negocio. Identidad e imagen verificadas; el registro entra a la góndola como ""Precio próximamente"" y no es comprable.","https://www.jumbo.com.ar/isotonico-zero-fresa-kiwi-400-ml-gatorade/p","El negocio confirma precio y stock; recién ahí publicable=true."
"powerade-mountain-blast-995ml","Isotónicas","Powerade","Powerade","Botella PET · 995 ml · Unidad","price","Precio no confirmado por el negocio. Identidad e imagen verificadas; el registro entra a la góndola como ""Precio próximamente"" y no es comprable.","https://www.jumbo.com.ar/isotonico-powerade-mountain-blast-995cc/p","El negocio confirma precio y stock; recién ahí publicable=true."
"brancamenta-450ml","Fernet y amargos","Brancamenta","Brancamenta","Botella · 450 ml · Unidad","price+image_rights_status+publication_status","No aprobado: La revisión visual encontró dorso del envase, no frente de producto.","https://www.jumbo.com.ar/fernet-branca-menta-450-ml/p","Conseguir un packshot frontal verificable de la presentación declarada."
"buhero-negro-450ml","Fernet y amargos","Buhero","Buhero Negro","Botella · 450 ml · Unidad","price","Precio no confirmado por el negocio. Identidad e imagen verificadas; el registro entra a la góndola como ""Precio próximamente"" y no es comprable.","https://www.jumbo.com.ar/fernet-buhero-negro-450ml/p","El negocio confirma precio y stock; recién ahí publicable=true."
"gancia-americano-950ml","Aperitivos","Gancia","Gancia","Botella · 950 ml · Unidad","price+image_rights_status+publication_status","No aprobado: La revisión visual encontró dorso del envase, no frente de producto.","https://www.jumbo.com.ar/aperitivo-gancia-950-ml/p","Conseguir un packshot frontal verificable de la presentación declarada."
"cinzano-rosso-950ml","Aperitivos","Cinzano","Cinzano Rosso","Botella · 950 ml · Unidad","price","Precio no confirmado por el negocio. Identidad e imagen verificadas; el registro entra a la góndola como ""Precio próximamente"" y no es comprable.","https://www.jumbo.com.ar/vermouth-cinzano-rosso-950-ml/p","El negocio confirma precio y stock; recién ahí publicable=true."
"campari-bitter-750ml","Aperitivos","Campari","Campari Bitter","Botella · 750 ml · Unidad","price","Precio no confirmado por el negocio. Identidad e imagen verificadas; el registro entra a la góndola como ""Precio próximamente"" y no es comprable.","https://www.jumbo.com.ar/aperitivo-campari-bitter-750-cc/p","El negocio confirma precio y stock; recién ahí publicable=true."
"aperol-750ml","Aperitivos","Aperol","Aperol","Botella · 750 ml · Unidad","price","Precio no confirmado por el negocio. Identidad e imagen verificadas; el registro entra a la góndola como ""Precio próximamente"" y no es comprable.","https://www.jumbo.com.ar/aperitivo-aperol-750-ml/p","El negocio confirma precio y stock; recién ahí publicable=true."
"martini-bianco-1000ml","Aperitivos","Martini","Martini Bianco","Botella · 1 L · Unidad","price+image_rights_status+publication_status","No aprobado: La revisión visual encontró dorso del envase, no frente de producto.","https://www.jumbo.com.ar/aperitivo-martini-bianco-1-l/p","Conseguir un packshot frontal verificable de la presentación declarada."
"quilmes-clasica-710ml","Cervezas","Quilmes","Quilmes Clásica","Lata · 710 ml · Unidad","price","Precio no confirmado por el negocio. Identidad e imagen verificadas; el registro entra a la góndola como ""Precio próximamente"" y no es comprable.","https://www.jumbo.com.ar/cerveza-quilmes-clasica-710cc/p","El negocio confirma precio y stock; recién ahí publicable=true."
"patagonia-lager-del-sur-730ml","Cervezas","Patagonia","Patagonia Lager del Sur","Botella · 730 ml · Unidad","price","Precio no confirmado por el negocio. Identidad e imagen verificadas; el registro entra a la góndola como ""Precio próximamente"" y no es comprable.","https://www.jumbo.com.ar/cerveza-patagonia-lager-del-sur-730cc-2/p","El negocio confirma precio y stock; recién ahí publicable=true."
"heineken-710ml","Cervezas","Heineken","Heineken","Lata · 710 ml · Unidad","price","Precio no confirmado por el negocio. Identidad e imagen verificadas; el registro entra a la góndola como ""Precio próximamente"" y no es comprable.","https://www.jumbo.com.ar/cerveza-heineken-rubia-710cc/p","El negocio confirma precio y stock; recién ahí publicable=true."
"stella-artois-sin-alcohol-330ml","Cervezas","Stella Artois","Stella Artois","Botella · 330 ml · Unidad","price","Precio no confirmado por el negocio. Identidad e imagen verificadas; el registro entra a la góndola como ""Precio próximamente"" y no es comprable.","https://www.jumbo.com.ar/cerveza-stella-artois-sin-alcohol-330-ml/p","El negocio confirma precio y stock; recién ahí publicable=true."
"corona-extra-330ml","Cervezas","Corona","Corona Extra","Botella · 330 ml · Unidad","price","Precio no confirmado por el negocio. Identidad e imagen verificadas; el registro entra a la góndola como ""Precio próximamente"" y no es comprable.","https://www.jumbo.com.ar/cerveza-rubia-330ml-corona-2/p","El negocio confirma precio y stock; recién ahí publicable=true."
"imperial-golden-473ml","Cervezas","Imperial","Imperial Golden","Lata · 473 ml · Unidad","price","Precio no confirmado por el negocio. Identidad e imagen verificadas; el registro entra a la góndola como ""Precio próximamente"" y no es comprable.","https://www.jumbo.com.ar/cerveza-imperial-golden-473cc/p","El negocio confirma precio y stock; recién ahí publicable=true."
"brahma-chopp-1000ml","Cervezas","Brahma","Brahma Chopp","Botella retornable · 1 L · Unidad","price","Precio no confirmado por el negocio. Identidad e imagen verificadas; el registro entra a la góndola como ""Precio próximamente"" y no es comprable.","https://www.jumbo.com.ar/cerveza-brahma-chopp-rubia-1lt-ret/p","El negocio confirma precio y stock; recién ahí publicable=true."
"amstel-lager-473ml","Cervezas","Amstel","Amstel Lager","Lata · 473 ml · Unidad","price","Precio no confirmado por el negocio. Identidad e imagen verificadas; el registro entra a la góndola como ""Precio próximamente"" y no es comprable.","https://www.jumbo.com.ar/cerveza-amstel-lager-473-cc/p","El negocio confirma precio y stock; recién ahí publicable=true."
"rutini-malbec-750ml","Vinos","Rutini","Rutini Malbec","Botella · 750 ml · Unidad","price","Precio no confirmado por el negocio. Identidad e imagen verificadas; el registro entra a la góndola como ""Precio próximamente"" y no es comprable.","https://www.jumbo.com.ar/vino-tinto-rutini-malbec-750-cc/p","El negocio confirma precio y stock; recién ahí publicable=true."
"trapiche-reserva-malbec-750ml","Vinos","Trapiche","Trapiche Reserva Malbec","Botella · 750 ml · Unidad","price","Precio no confirmado por el negocio. Identidad e imagen verificadas; el registro entra a la góndola como ""Precio próximamente"" y no es comprable.","https://www.jumbo.com.ar/vino-trapiche-reserva-malbec-750cc/p","El negocio confirma precio y stock; recién ahí publicable=true."
"fin-del-mundo-cabernet-franc-750ml","Vinos","Fin del Mundo","Fin del Mundo","Botella · 750 ml · Unidad","price","Precio no confirmado por el negocio. Identidad e imagen verificadas; el registro entra a la góndola como ""Precio próximamente"" y no es comprable.","https://www.jumbo.com.ar/vino-fin-cabernet-franc-750cc-2/p","El negocio confirma precio y stock; recién ahí publicable=true."
"chandon-delice-750ml","Espumantes y sidras","Chandon","Chandon Délice","Botella · 750 ml · Unidad","price","Precio no confirmado por el negocio. Identidad e imagen verificadas; el registro entra a la góndola como ""Precio próximamente"" y no es comprable.","https://www.jumbo.com.ar/espumante-chandon-delice-750-ml-3/p","El negocio confirma precio y stock; recién ahí publicable=true."
"tanqueray-dry-700ml","Destilados","Tanqueray","Tanqueray Dry","Botella · 700 ml · Unidad","price","Precio no confirmado por el negocio. Identidad e imagen verificadas; el registro entra a la góndola como ""Precio próximamente"" y no es comprable.","https://www.jumbo.com.ar/gin-tanqueray-dry-700-ml/p","El negocio confirma precio y stock; recién ahí publicable=true."
"bombay-sapphire-750ml","Destilados","Bombay Sapphire","Bombay Sapphire","Botella · 750 ml · Unidad","price","Precio no confirmado por el negocio. Identidad e imagen verificadas; el registro entra a la góndola como ""Precio próximamente"" y no es comprable.","https://www.jumbo.com.ar/gin-bombay-750-ml/p","El negocio confirma precio y stock; recién ahí publicable=true."
"bosque-nativo-500ml","Destilados","Bosque","Bosque Nativo","Botella · 500 ml · Unidad","price","Precio no confirmado por el negocio. Identidad e imagen verificadas; el registro entra a la góndola como ""Precio próximamente"" y no es comprable.","https://www.jumbo.com.ar/gin-bosque-nativo-botella-500mlx1-2/p","El negocio confirma precio y stock; recién ahí publicable=true."
"smirnoff-700ml","Destilados","Smirnoff","Smirnoff","Botella · 700 ml · Unidad","price+image_rights_status+publication_status","No aprobado: La revisión visual detectó conflicto: la imagen declara 750 ml y el SKU 700 ml.","https://www.jumbo.com.ar/vodka-smirnoff-700-ml/p","Conseguir un packshot frontal verificable de la presentación declarada."
"johnnie-walker-red-label-750ml","Destilados","Johnnie Walker","Johnnie Walker Red Label","Botella · 750 ml · Unidad","price","Precio no confirmado por el negocio. Identidad e imagen verificadas; el registro entra a la góndola como ""Precio próximamente"" y no es comprable.","https://www.jumbo.com.ar/whisky-johnnie-walker-red-label-botella-750ml/p","El negocio confirma precio y stock; recién ahí publicable=true."
"hielo-cristal-4kg","Hielo","Cristal","Hielo Cristal","Bolsa · 4 kg · Unidad","price","Precio no confirmado por el negocio. Identidad e imagen verificadas; el registro entra a la góndola como ""Precio próximamente"" y no es comprable.","https://www.jumbo.com.ar/hielo-cristal-bolsa-4-kg/p","El negocio confirma precio y stock; recién ahí publicable=true."
"coca-cola-original-2250ml-local","Gaseosas","Coca-Cola","Coca-Cola Sabor Original","Botella PET · 2,25 L · Unidad","price","Precio no confirmado por el negocio. Identidad e imagen verificadas; el registro entra a la góndola como ""Precio próximamente"" y no es comprable.","https://www.jumbo.com.ar/gaseosa-coca-cola-sabor-original-2-25-l/p","El negocio confirma precio y stock; recién ahí publicable=true."
"coca-cola-sin-azucar-2250ml-local","Gaseosas","Coca-Cola","Coca-Cola Sin Azúcar","Botella PET · 2,25 L · Unidad","price","Precio no confirmado por el negocio. Identidad e imagen verificadas; el registro entra a la góndola como ""Precio próximamente"" y no es comprable.","https://www.jumbo.com.ar/coca-cola-zero-2-25-lt/p","El negocio confirma precio y stock; recién ahí publicable=true."
"sprite-sin-azucar-2250ml-local","Gaseosas","Sprite","Sprite","Botella PET · 2,25 L · Unidad","price","Precio no confirmado por el negocio. Identidad e imagen verificadas; el registro entra a la góndola como ""Precio próximamente"" y no es comprable.","https://www.vea.com.ar/gaseosa-sprite-lima-limon-zero-2-25lt-2/p","El negocio confirma precio y stock; recién ahí publicable=true."
"7up-original-2000ml-local","Gaseosas","7UP","7UP","Botella PET · 2 L · Unidad","price","Precio no confirmado por el negocio. Identidad e imagen verificadas; el registro entra a la góndola como ""Precio próximamente"" y no es comprable.","https://www.vea.com.ar/gaseosa-lima-limon-x-2-lts-7-up/p","El negocio confirma precio y stock; recién ahí publicable=true."
"bonaqua-sin-gas-2250ml-local","Aguas","Bonaqua","Bonaqua","Botella PET · 2,25 L · Unidad","price","Precio no confirmado por el negocio. Identidad e imagen verificadas; el registro entra a la góndola como ""Precio próximamente"" y no es comprable.","https://www.vea.com.ar/agua-mineral-bonaqua-sin-gas-2-25-lt/p","El negocio confirma precio y stock; recién ahí publicable=true."
"manaos-lima-limon-2250ml-local","Gaseosas","Manaos","Manaos","Botella PET · 2,25 L · Unidad","price","Precio no confirmado por el negocio. Identidad e imagen verificadas; el registro entra a la góndola como ""Precio próximamente"" y no es comprable.","https://www.vea.com.ar/manaos-lima-limon/p","El negocio confirma precio y stock; recién ahí publicable=true."
"manaos-naranja-2250ml-local","Gaseosas","Manaos","Manaos","Botella PET · 2,25 L · Unidad","price","Precio no confirmado por el negocio. Identidad e imagen verificadas; el registro entra a la góndola como ""Precio próximamente"" y no es comprable.","https://www.vea.com.ar/manaos-naranja/p","El negocio confirma precio y stock; recién ahí publicable=true."
"pepsi-black-2250ml-local","Gaseosas","Pepsi","Pepsi Black","Botella PET · 2,25 L · Unidad","price","Precio no confirmado por el negocio. Identidad e imagen verificadas; el registro entra a la góndola como ""Precio próximamente"" y no es comprable.","https://www.vea.com.ar/pepsi-sin-azucar-2-25-l/p","El negocio confirma precio y stock; recién ahí publicable=true."
"schweppes-tonica-354ml-local","Mixers","Schweppes","Schweppes Tónica","Lata · 354 ml · Unidad","price","Precio no confirmado por el negocio. Identidad e imagen verificadas; el registro entra a la góndola como ""Precio próximamente"" y no es comprable.","https://www.jumbo.com.ar/gaseosa-schweppes-tonica-354-ml/p","El negocio confirma precio y stock; recién ahí publicable=true."
"levite-manzana-2250ml-local","Aguas saborizadas","Levité","Levité","Botella PET · 2,25 L · Unidad","price","Precio no confirmado por el negocio. Identidad e imagen verificadas; el registro entra a la góndola como ""Precio próximamente"" y no es comprable.","https://www.jumbo.com.ar/saborizada-levite-manzana-2-25lt/p","El negocio confirma precio y stock; recién ahí publicable=true."
"gancia-americano-950ml-local","Aperitivos","Gancia","Gancia","Botella · 950 ml · Unidad","price","Precio no confirmado por el negocio. Identidad e imagen verificadas; el registro entra a la góndola como ""Precio próximamente"" y no es comprable.","https://www.jumbo.com.ar/aperitivo-gancia-950-ml/p","El negocio confirma precio y stock; recién ahí publicable=true."
"martini-bianco-1000ml-local","Aperitivos","Martini","Martini Bianco","Botella · 1 L · Unidad","price","Precio no confirmado por el negocio. Identidad e imagen verificadas; el registro entra a la góndola como ""Precio próximamente"" y no es comprable.","https://www.jumbo.com.ar/aperitivo-martini-bianco-1-l/p","El negocio confirma precio y stock; recién ahí publicable=true."
"monster-ultra-473ml-local","Energizantes","Monster","Monster Ultra","Lata · 473 ml · Unidad","price","Precio no confirmado por el negocio. Identidad e imagen verificadas; el registro entra a la góndola como ""Precio próximamente"" y no es comprable.","https://www.jumbo.com.ar/bebida-energizante-energy-ultra-473-ml-monster/p","El negocio confirma precio y stock; recién ahí publicable=true."
"fernet-branca-edicion-mundial-750ml","Fernet y amargos","Fernet Branca","Fernet Branca Edición Mundial","Botella · 750 ml · Unidad","price","Precio no confirmado por el negocio. Identidad e imagen verificadas; el registro entra a la góndola como ""Precio próximamente"" y no es comprable.","https://www.vea.com.ar/fernet-branca-edicion-mundial-750/p","El negocio confirma precio y stock; recién ahí publicable=true."
"fernet-vittone-1000ml","Fernet y amargos","Vittone","Fernet Vittone","Botella · 1 L · Unidad","price","Precio no confirmado por el negocio. Identidad e imagen verificadas; el registro entra a la góndola como ""Precio próximamente"" y no es comprable.","https://www.vea.com.ar/fernet-vittone-x-100-cl/p","El negocio confirma precio y stock; recién ahí publicable=true."
"budweiser-lata-473ml-pack-6-local","Cervezas","Budweiser","Budweiser","Lata · 473 ml · Pack x6","price","Precio no confirmado por el negocio. Identidad e imagen verificadas; el registro entra a la góndola como ""Precio próximamente"" y no es comprable.","https://www.vea.com.ar/cerveza-budweiser-473-ml-x-6-un-2/p","El negocio confirma precio y stock; recién ahí publicable=true."
"alamos-malbec-750ml-local","Vinos","Alamos","Alamos Malbec","Botella · 750 ml · Unidad","price","Precio no confirmado por el negocio. Identidad e imagen verificadas; el registro entra a la góndola como ""Precio próximamente"" y no es comprable.","https://www.jumbo.com.ar/vino-alamos-malbec-x-750cc/p","El negocio confirma precio y stock; recién ahí publicable=true."
"norton-malbec-750ml-local","Vinos","Norton","Norton Malbec","Botella · 750 ml · Unidad","price","Precio no confirmado por el negocio. Identidad e imagen verificadas; el registro entra a la góndola como ""Precio próximamente"" y no es comprable.","https://www.vea.com.ar/vino-norton-malbec-750-ml-select/p","El negocio confirma precio y stock; recién ahí publicable=true."
